template_path,slot_key,block_key,position,conditions.productCategory.all,conditions.productCategory.skus,conditions.productCategory.category_key,conditions.category.all,conditions.category.category_key,conditions.cms_page.all,conditions.cms_page.page_key
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-desktop-header,blck-nav-desktop,1,,,,,,,
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-footer,blck-nav-footer,1,,,,,,,
@ShopUi/templates/page-layout-main/page-layout-main.twig,slt-mobile-header,blck-nav-mobile,1,,,,,,,
@HomePage/views/home/home.twig,slt-2,blck-49,1,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-1,5,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-3,2,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-4,3,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-5,7,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-6,8,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-8,9,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-44,1,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-47,6,,,,,,,
@HomePage/views/home/home.twig,slt-3,blck-48,4,,,,,,,
